test,level,accuracy
gaussian_noise,0.0,0.9822644497228821
gaussian_noise,0.03,0.9639746634996041
gaussian_noise,0.06,0.8954077593032462
gaussian_noise,0.1,0.7552652414885194
gaussian_blur,0,0.9822644497228821
gaussian_blur,3,0.9820269200316706
gaussian_blur,5,0.9802850356294537
brightness,0.65,0.977513855898654
brightness,1.0,0.9822644497228821
brightness,1.35,0.9702296120348377
